Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Sıradan Bir Kabus,Dedalus Kitap,Halle Butler,320.00,233.60,Yok,0.0
The Importance Of Being Earnest and Other Plays,Oxford University Press - Classics,Oscar Wilde,490.00,490.00,Yok,0.0
The Complete Short Stories,Oxford University Press - Classics,Oscar Wilde,490.00,490.00,Yok,0.0
The Importance Of Being Earnest and Other Plays,Oxford University Press - Classics,Oscar Wilde,490.00,490.00,Yok,0.0
Specimen Days,Oxford University Press - Classics,Walt Whitman,490.00,490.00,Yok,0.0
Şehadet Millet İçin - 3,Parola Yayınları,Tuğçe Aksal Karaoğlan,500.00,300.00,Yok,0.0
Topuz – Uğursuz Define,Gece Kitaplığı,Vehip Sinan,280.00,168.00,Yok,0.0
Topuz – Kim Kazanacak,Gece Kitaplığı,Vehip Sinan,252.00,151.20,Yok,0.0
Kevâ`ib-i Şi`r ü İnşâ,DBY Yayınları,Sâbık Edirne Müftüsü Kureyşîzâde Mehmed Fevzî Efen,455.00,377.65,Yok,0.0
Mısır Romanına Eleştirel Bir Bakış 1914-1944,DBY Yayınları,Asiye Çelenlioğlu,205.00,170.15,Yok,0.0
Topuz – Yaramaz Karga,Gece Kitaplığı,Vehip Sinan,252.00,151.20,Yok,0.0
Topuz – Yetenekli Bücür,Gece Kitaplığı,Vehip Sinan,308.00,184.80,Yok,0.0
Topuz – Yörede Neler Oluyor,Gece Kitaplığı,Vehip Sinan,280.00,168.00,Yok,0.0
Topuz – Kan Davası,Gece Kitaplığı,Vehip Sinan,210.00,126.00,Yok,0.0
Topuz – Esrarlı Yumurta,Gece Kitaplığı,Vehip Sinan,266.00,159.60,Yok,0.0
Kurşunların Gölgesinde Büyümek,Gece Kitaplığı,Abdurrahman Kaçmaz,220.00,132.00,Yok,0.0
Teraneler I,Lando Yayınları,Davut Kağan Ünalan,200.00,136.00,Yok,0.0
Taşlıtarla 5,Gece Kitaplığı,Hakan Durak,1.008.00,604.80,Yok,0.0
Tanıdığım Eski Sanatkârlar ve Osmanlı Ricâli,Ötüken Neşriyat,Reşid Halid Gönç,200.00,130.00,Yok,0.0
Şizofren Aşk`a Mektup,Dokuz Yayınları,Cezmi Ersöz,320.00,160.00,Yok,0.0
Gödeli Mehmet,Elips Kitap,Memduh Şevket Esendal,240.00,163.20,Yok,0.0
45. Durak - İmzalı,İndigo Kitap,Büşra Nur,419.00,251.40,Yok,0.0
Yine Seninle Geldi Hayat,Dokuz Yayınları,Cezmi Ersöz,140.00,70.00,Yok,0.0
Derinliğine Kimse Sevgili Olamadı,Dokuz Yayınları,Cezmi Ersöz,150.00,75.00,Yok,0.0
Hayallerini Yak Evi Isıt,Dokuz Yayınları,Cezmi Ersöz,130.00,65.00,Yok,0.0
Yok Karşılığı Yüzünün,Dokuz Yayınları,Cezmi Ersöz,120.00,60.00,Yok,0.0
Zamansız - İmzalı,İndigo Kitap,M. Rise,409.00,245.40,Yok,0.0
Kayıp Yansıma - İmzalı,İndigo Kitap,Dilara Keskin,419.00,251.40,Yok,0.0
Ölüler Konuşamaz - İmzalı,İndigo Kitap,Dilara Keskin,389.00,233.40,Yok,0.0
Kazan Melikesi Süyüm Bike,Atayurt Yayınevi,Muzaffer Kaya,200.00,156.00,Yok,0.0
Leaves Of Grass,Oxford University Press - Classics,Walt Whitman,490.00,490.00,Yok,0.0
Benekli Kordon,LibrisHub Yayınları,Sir Arthur Conan Doyle,160.00,160.00,Yok,0.0
İkinci Lekenin Esrarı,LibrisHub Yayınları,Sir Arthur Conan Doyle,160.00,160.00,Yok,0.0
The Custom Of The Country,Oxford University Press - Classics,Edith Wharton,490.00,490.00,Yok,0.0
Ayten,Divit Kitabevi,Ümüt Yiğit,240.00,163.20,Yok,0.0
Summer,Oxford University Press - Classics,Edith Wharton,490.00,490.00,Yok,0.0
Limni ve Malta Mektupları,Ötüken Neşriyat,Ziya Gökalp,590.00,383.50,Yok,0.0
Eczanedeki Kırmızı Dolap,Remzi Kitabevi,Sinem Us,270.00,189.00,Yok,0.0
Dördüncü Cemre,Odessa Yayınevi,Semih Yörük,500.00,390.00,Yok,0.0
Denemeden Bilemezsin - Fragmanlar 2,Ötüken Neşriyat,Orçun Üçer,420.00,273.00,Yok,0.0
Sükut,Odessa Yayınevi,Semih Yörük,250.00,195.00,Yok,0.0
Tekrar Düşün,Orman Kitap,Charlie Donlea,300.00,195.00,Yok,0.0
Okyanus Gözlü Çocuk,Odessa Yayınevi,Songül Darılgan Kelleci,420.00,327.60,Yok,0.0
Bozoğlan Destanı,Ötüken Neşriyat,Osman Karatay,320.00,208.00,Yok,0.0
